Empire,Start year,End year,Duration (years)
Vijayanagara Empire,1336,1646,310
Republic of Venice,697,1797,1100
Wari Empire,500,1100,600
Wassoulou Empire,1878,1895,17
Wattasids,1472,1554,82
Western Chalukya Empire,973,1189,216
Xia dynasty,2070 BC,1600 BC,470
Western Xia dynasty,1038,1227,189
Xin dynasty,9,23,14
Yuan dynasty,1271,1368,97
Zand dynasty,1750,1794,44
Zhou dynasty,1046 BC,256 BC,790
Zhou dynasty (690–705),690,705,15
Zirids,972,1148,176
Zulu Empire,1818,1897,79
